VideoName,VideoNumber,Plays,Tags,
Aardappelvijand nr. 1: De coloradokever,14387,21,natuur;voeding,
Wilde zwijnen jacht,14426,31,natuur,
50 jaar Plantenziektekundige Dienst,14445,6,natuur,
Veredeling van tulpen,14508,29,natuur,
Unieke kevercollectie,14626,16,natuur,
Zeerob waarheen?,15092,14,natuur;zeehonden,
Voorjaarswandeling,15330,12,natuur,
15.000 exotische vlinders,15391,31,natuur,
Zeldzame vissen,15412,21,natuur,
Plaag van faraomieren,15490,14,natuur,
Zware dooi na strenge winter,15599,30,natuur,
Zuid-Limburg in herfsttooi,63466,26,natuur;platteland;herfst,
Jong leven in Naardermeer,31624,13,natuur;Madurodam,
De grote karekiet,122194,14,natuur;onderwijs;onderwijsfilm,
In de bruine boon schuilt een plantenleven,122285,18,natuur;onderwijs;onderwijsfilm,
Vogels in de stad,122595,15,natuur;onderwijs;onderwijsfilm,
Veluwe; akker en bos,122680,16,natuur;onderwijs;onderwijsfilm,
Padden op pad naar bruiloftsplaats; biologisch onderzoek in Overveen,141288,8,natuur;Wetenschap en onderzoek,
Boomchirurgie onder de loep,648960,1,natuur;curiosa,
Nieuw onderkomen voor zieke zeehonden van Lenie 't Hart,654728,0,natuur;zeehonden,
Tentoonstelling over Zuiderzeewerken in de Technische Hogeschool,648520,1,Zuiderzee;educatie;expositie;Zuiderzeewerken,
Onthulling van een monument voor de Britse en Franse bevrijders van Walcheren,25667,28,Vlissingen;4 en 5 mei;oorlogsmonument;Walcheren,
Bouw van een wandelpier,26250,27,Vlissingen;Zeeland,
Petroleumbrand in Vlissingen (1917),19542,28,Vlissingen;brand,
Op de werf 'De Schelde' wordt het nieuwe MS de 'Prinses Beatrix' op unieke wijze gebouwd,26303,27,Vlissingen;Zeeland,
Ingebruikname veerboot prinses Juliana,26326,24,Vlissingen;Zeeland,
Vlootschouw in Vlissingen ter herdenking van Michiel de Ruyter,26484,22,Vlissingen;Zeeland,
Michiel de Ruyter,26532,33,Vlissingen;Zeeland,
Bezoek inst. Naval Architects,26556,7,Vlissingen;Zeeland,
Stadsbeelden Vlissingen,26808,27,Vlissingen,
Brand in petroleum- en asfaltfabriek,28518,28,Vlissingen;brand;Zeeland,
Petroleumbrand,28526,25,Vlissingen;brand;Zeeland,
50 jarig jubileum Maatschappij Zeeland,28501,32,Vlissingen;Zeeland,
Herdenking Piet Hein,28576,15,Vlissingen;Zeeland,
Internationale stertocht voor motorboten,28617,16,Vlissingen;Zeeland,
De "Elandsfontein" terug uit Duitsland,28653,12,Vlissingen;Zeeland,
Herdenking 1948: plechtigheid op Fort de Bilt,20392,26,Utrecht;4 en 5 mei;oorlogsmonument,
Corinne Franzen maakt Utrechts verzetsmonument,21551,14,Utrecht;4 en 5 mei,
Onthulling verzetsmonument op het Fort de Bilt,21578,15,Utrecht;4 en 5 mei;oorlogsmonument,
Vriendschapstrein arriveert in ons land,25421,31,Utrecht;4 en 5 mei,
Rijjool van de studenten,637890,4,Utrecht;studenten;protest,
80 jaar pottenbakken; expositie fraai aardewerk,652291,1,Utrecht;aardewerk;pottenbakken,
Schetsen van Jozef en Isaac Israëls,8189,16,Museum Boijmans Van Beuningen;kunst,
Congres van Dolle Mina's,84919,26,emancipatie;vrouwen,
Protestmeeting ontslag gehuwde ambtenares,84894,26,emancipatie;vrouwen,
Vrouwen als kraandrijvers bij de Hoogovens,42978,28,emancipatie;Noord-Holland;vrouwen,
Man-Vrouw-Maatschappij jubileert,8626,25,emancipatie;arbeid;vrouwen,
Het voorlezen van de nieuwe grondwet,85003,24,emancipatie;politiek;vrouwen,
Eerste Hollandse vliegenierster,85181,25,emancipatie;luchtvaart;vrouwen,
Anti-discriminatiebeurs,85414,15,emancipatie;vrouwen,
Buitenlandse studenten werken in Nederland,10372,22,arbeid;culturele diversiteit,
Bouw van Finse scholen,10402,31,arbeid;onderwijs,
Het probleem der werkende studenten,10811,20,arbeid;onderwijs,
Door toename automatisering in krantenbedrijf verdwijnt het oude zettersvak,13160,15,arbeid,
De efficiency-beurs,13199,24,arbeid,
Demonstratie ter verkrijging der achturige werkdag,13260,14,arbeid,
Ambassadeurs van de jeugd maken kennis met de Nederlandse industrie,13279,22,arbeid;industrie en productie,
Honderd jaar activiteit,13300,11,arbeid,
Stakingsacties op vele plaatsen; onderhandelingen leiden tot gedeeltelijke overeenstemming,13402,22,arbeid,
Werklozen demonstratie,13515,18,arbeid;vakantie,
Arbeid voor werkloze jongeren,13607,15,arbeid,
Amerikaanse stakingsmethode,13627,12,arbeid,
Vervaardiging van punaises,13717,29,arbeid;industrie en productie,
1 mei: Dag van de Arbeid,13874,25,arbeid,
Tien jaar gemeentelijke vakcursussen te Den Haag,13918,9,arbeid,
Den Haag: bijvoeding in de fabrieken en werkplaatsen,13955,20,arbeid;voeding,
Een dag bij de Nederlandse Vrouwen Arbeidsdienst,14019,26,arbeid,
Hoe besteed ik mijn vrije tijd?,14037,26,arbeid,
Schoonheid van arbeid,14059,22,arbeid,
Het werk van de gewestelijke arbeidsbureau's,14077,27,arbeid,
Een bemiddelingsbureau voor arbeid in Duitsland,14119,17,arbeid,
Op bezoek bij industrie en ambacht,14324,21,arbeid;industrie en productie,
Internationaal landbouwcongres,14343,17,arbeid,
Autobussen aan de lopende band,14407,27,arbeid,
Voortschrijdende mechanisatie in de land- en tuinbouw: bollentelmachine suikerbietentransporteur,14490,28,arbeid,
Carillon kondigt werkpauze aan,14528,25,arbeid;industrie en productie,
200.000.000 doden guldens,14840,13,arbeid,
Staking van KLM-vliegers,14899,19,arbeid,
Meer veiligheid bij het werk,14956,17,arbeid,
Politie in verzet tegen salarisbeleid,15014,17,arbeid,
Actie van Delftse bioscopen,15032,21,arbeid,
Opening asfaltfabriek,15184,16,arbeid,
Een kijkje bij de kleinschalige onderneming,15581,15,arbeid;milieuvriendelijk,
Het werk van de glasmeesters: vervaardiging van 'Unica',17958,27,arbeid;glas,
Fabriek in vogelvlucht (1927),19288,36,arbeid,
Haarlem's dagblad (1928),19330,25,arbeid,
Een Geldersche groot-industrie (1930),19264,23,arbeid,
Glas-Industrie in Leerdam (1918),19315,30,arbeid;glas,
Een doordeweekse dag (1932),19241,26,arbeid,
Staatsmijnen in Limburg (1919),19655,37,arbeid,
Van steenkool tot gas (1924),19670,24,arbeid,
Wat zijn kogellagers (1920),19714,36,arbeid,
Koninklijke Stearine Kaarsenfabriek Gouda (1918),19431,23,arbeid,
Twentse textielindustrie,122438,17,arbeid;onderwijs;onderwijsfilm,
De hoefsmid,122556,18,arbeid;onderwijs;onderwijsfilm,
Het boek II,122902,16,arbeid;onderwijs;onderwijsfilm,
Niek zoekt werk op kantoor,127751,10,arbeid;onderwijsfilm,
De opleiding tot dierenarts aan de Faculteit der Geneeskunde,8794,11,onderwijs,
Op de politieschool worden leerling-agenten opgeleid tot allround agenten,8852,28,onderwijs,
De eerste Duitsche moederschool in Nederland,9026,25,onderwijs,
Audiovisuals centraal op onderwijs tentoonstelling,9386,18,onderwijs,
Minister Marchant spreekt over de nieuwe spelling,9704,29,onderwijs,
Sociografisch werk,9841,10,onderwijs,
Feestelijke opening van een nieuwe Duitse Oberschule,10021,14,onderwijs,
Ontgroenen van nieuwe leerlingen van de MTS,9867,17,onderwijs,
Met de ponytax naar de kleuterschool,10197,14,onderwijs,
Kunstnijverheidsonderwijs,10138,11,onderwijs,
Melk op school,10088,34,onderwijs;voeding,
De Amerikaanse schoolmeester Bowlby bezoekt Zuidzande (Z. Vl.),10306,10,onderwijs,
Amerika schenkt boeken aan de Leidse Universiteit,10530,8,onderwijs,
Universiteitshuis viert zijn eerste lustrum,10665,17,onderwijs,
Minister Rutten opent eetgelegenheid voor studenten,10763,36,onderwijs;voeding,
Nieuwe methoden bij het onderwijs aan doofstommen,10931,21,onderwijs,
Viering van het 30-jarig bestaan van het Nijmeegse studentencorps,11060,12,onderwijs,
Opening van nieuwe studentensociëteit,11087,23,onderwijs,
Hoogtijdag voor de RK Universiteit,11251,9,onderwijs,
Met de klas naar het Museum voor het Onderwijs,11146,14,onderwijs,
De kleinste school van Noord-Holland,11331,25,onderwijs,
De kermisschool doorkruist weer het land,11450,9,onderwijs,
Kleuters vieren gouden jubileum,11641,10,onderwijs,
De Vrije Universiteit in Amsterdam,11741,19,onderwijs,
Unieke school in kasteel bij Renesse,11819,26,onderwijs,
Opening studentensociëteit in Delft,11869,19,onderwijs,
Studenten zoeken kamers,11976,22,onderwijs;studenten,
Rijles per walkie-talkie,12039,25,onderwijs;verkeer,
Technische Hogeschool,12063,21,onderwijs,
Studenten betoging,12113,11,onderwijs,
Veilig verkeer,12206,20,onderwijs;verkeer,
Ontwikkelingshulp,12241,9,onderwijs,
Kunstacademie,12360,21,onderwijs;kunst;Suriname en de Nederlandse Antillen,
Conflict hogeschool,12420,17,onderwijs,
Nieuw gebouw Stichting Film en Wetenschap,12670,21,onderwijs,
Open dag in natuurkundig laboratorium,12697,19,onderwijs,
Protest tegen regeringsbeleid,12767,18,onderwijs;politiek,
Studentenleven op Uilenstede,12940,33,onderwijs,
Verkeersles aan kleuters met politie-poppenkast,12996,34,onderwijs;verkeer;jeugd,
Cursus voor bescherming burgerbevolking,13073,16,onderwijs,
Opleiding voor Joodse emigranten,13120,18,onderwijs;culturele diversiteit,
Opleiding tot filmoperatrice,14221,15,onderwijs,
De eerste Nederlandse glasschool,17788,27,onderwijs;glas,
Verplichte gymnastiek op alle scholen: kleutergymnastiek,26835,24,onderwijs,
Lustrumviering van de vrouwelijke studenten,85980,20,onderwijs;vrouwen,
Baggerschool in Delfzijl,108551,19,onderwijs;scheepvaart,
Kaas,122383,16,onderwijs;voeding;onderwijsfilm,
Zuiderzeepolders,122413,12,onderwijs;onderwijsfilm,
Verkiezingen voor de Tweede Kamer,122637,10,onderwijs;politiek;onderwijsfilm,
Auto's aan de lopende band,122671,18,onderwijs;Verkeer en vervoer;industrie en productie;onderwijsfilm,
Een tijdperk ging voorbij,122756,18,onderwijs;Verkeer en vervoer;onderwijsfilm,
Turf bij hoogveen,122945,17,onderwijs;onderwijsfilm,
De postzegel is 100 jaar: 1852-1952,123722,9,onderwijs;onderwijsfilm,
Tabak en sigaren,123746,16,onderwijs;onderwijsfilm,
Het boek I,123758,12,onderwijs;onderwijsfilm,
Het dorp,123818,15,onderwijs;platteland;onderwijsfilm,
Het dorp,123830,16,onderwijs;platteland;onderwijsfilm,
Hansje en de Madurodammers,123889,11,onderwijs;Madurodam;onderwijsfilm,
Zevenvoudige bruiloft van Hongaarse vluchtelingen,9004,20,vluchtelingen;culturele diversiteit,
Nederland ontvangt Hongaarse vluchtelingen,8976,29,vluchtelingen;culturele diversiteit,
Vluchtelingen uit Triëst arriveren in ons land,11170,27,vluchtelingen;culturele diversiteit,
450 vluchtelingen kinderen op vakantie in ons land,11718,13,vluchtelingen;culturele diversiteit;vakantie,
Vluchtelingen uit Triëst arriveren in ons land,653577,1,vluchtelingen;culturele diversiteit;trein,
Feestelijk besluit van de Europese weken,11011,8,culturele diversiteit,
Belgische folkore,11669,19,culturele diversiteit,
Europa's grootste treindouche in gebruik,8826,34,gastarbeiders;verkeer,
De spoorwegramp aan 'De Vink' bij Leiden 9 september 1926,19218,36,verkeer;spoorwegen,
Veilig verkeer (1930),19692,25,verkeer,
Heinenoordtunnel,28925,35,verkeer;Zeeland,
Nederland in de greep van de mist,648574,1,verkeer;Verkeer en vervoer;weer,
Veilig Verkeer actie 1949,648780,1,verkeer;Verkeer en vervoer;voorlichting,
Electrificatie van midden en westelijk Brabant,648921,1,verkeer;Verkeer en vervoer;vervoer,
Voedselvoorziening voor bejaarden,13182,14,voeding,
'Operatie Snert' ten bate van het Nationaal Rampenfonds,13224,23,voeding;Watersnoodramp 1953,
Kroketten aan de lopende band,13318,29,voeding;industrie en productie,
Zoetwarenbeurs in Utrecht,13362,23,voeding,
Den Haag: twee centrale keukens geopend,13381,10,voeding,
Eerste coöperatieve diepvrieskluis in de Alblasserwaard,13421,25,voeding,
De cranberry cultuur op Terschelling,13470,25,voeding,
Bezoek aan het laboratorium aan het Instituut voor Volksvoeding,13534,30,voeding,
Kersenpluk,13553,14,voeding,
Slagersvaktentoonstelling,13645,8,voeding,
Aardbeien,13665,11,voeding,
Bakken van het soldatenkuch,13739,17,voeding,
Kerstdiner van het tweede depot Bataljon Motordienst,13757,10,voeding,
Worst voor het Nederlandse leger,13775,34,voeding,
Hoe blijven de vitaminen bij de bereiding van onze spijzen behouden? Kookdemonstratie,13820,19,voeding,
Tentoonstelling 'Onze voeding in oorlogstijd',13858,15,voeding,
Garnalenvangst,13937,22,voeding,
Nederland voedt zichzelf,13976,22,voeding,
Drukte bij de fruitoogst in het Westland,14138,10,voeding,
Nederland voedt zichzelf: De graanoogst begonnen,14157,23,voeding,
De eerste verse groente,14177,30,voeding,
Fabricatie van chocolade,14285,23,voeding,
Er komen weer chocolade paaseieren....op de bon,14305,9,voeding,
Champignonkwekerij in grotten,14608,28,voeding,
In de koelhuizen van Nederland,14689,18,voeding,
Eerste keukentrein voor de organisatie Bescherming Burgerbevolking gereed gekomen,14711,14,voeding,
Nationale kookwedstrijd voor huishoudscholen,14728,18,voeding,
Koks van haringloggers volgen cursus huishoudschool,14791,23,voeding,
De zomertentoonstelling ´Mensen aan tafel´,14810,7,voeding,
Minister Mansholt opent nieuw zuivel-laboratorium in Leeuwarden,14871,18,voeding,
Dorp gebruikt feestmaal van pork en wittebrood,14918,16,voeding;4 en 5 mei;Broek in Waterland,
Kookcursus voor de heer des huizes,14938,20,voeding,
75-jarig bestaan van de kaasmarkt in Woerden,14994,25,voeding,
De anti-hongeractie 10 x 10,15111,11,voeding,
Rijdende viskeuken,15130,12,voeding,
Suikerbieten campagne,15222,26,voeding,
Bananenoogst,15240,24,voeding;Suriname en de Nederlandse Antillen,
Melkoorlog,15290,25,voeding,
Voedselbestraling,15312,25,voeding,
56.000 kippen leggen 40.000 eieren per dag,15349,18,voeding,
Slakkenkwekerij voor consumptie,15430,34,voeding,
Machinaal en met de hand vervaardigen van snoep uit grootmoeders tijd,15513,30,voeding,
Een wijngaard op de oude Maasterrassen,15541,15,voeding,
Eerste Hollandse Nieuwe,27577,25,voeding;Typisch Nederlands,
Augurkenteelt,62195,24,voeding;platteland,
Aardappelverwerkingsbedrijf,80120,14,voeding;platteland,
Nationale kampioenschappen biertappen,80581,15,voeding,
In Spaarndam arriveert het grootste palingschip ter wereld,81121,27,voeding,
Gecondenseerde melk voor export,81302,27,voeding,
Meisjes van de huishoudschool bakken oliebollen,81519,21,voeding,
Oude oliemolen weer in bedrijf,108433,14,voeding;Typisch Nederlands,
In Wageningen bakt men speelgoedbroodjes,139313,8,voeding;Wetenschap en onderzoek,
Nieuw gebouw van het Instituut voor Bewaring en Verwerking van Tuinbouwproducten,141006,4,voeding;Wetenschap en onderzoek,
Vroege aardbeien door bestraling met neonlicht,141203,9,voeding;Wetenschap en onderzoek,
Het werk van de Keuringsdienst van Waren,637869,2,voeding;curiosa,
Bambang Oetoro demonstreert batikkunst in eerste batikgalerie,16528,35,Indonesië;jaarthema 2010,
Verklaring van minister president Drees voor zijn vertrek,16566,22,Indonesië;jaarthema 2010,
Staatssecretaris Bot over Nieuw-Guinea,16586,13,Indonesië;jaarthema 2010,
Indisch tuinfeest op Arendsdorp,16627,38,Indonesië;jaarthema 2010,
Bezoek aan de PHOHI kortegolf zender,16641,33,Indonesië;jaarthema 2010,
Jamboree is in aantocht; Indische padvinders in Amsterdam,16661,22,Indonesië;jaarthema 2010,
Nieuws uit Indië: landing van Nederlandse troepen op Bali,16667,30,Indonesië;jaarthema 2010,
Indisch nieuws,16722,25,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: het werk van de Nederlandse dienst voor Volksgezondheid,16742,37,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: markt in Batavia,16759,29,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: Japanse krijgsgevangenen verlaten Borneo,16779,28,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: de volkswijk Tanah Abang aan de rand van Batavia,16839,23,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: autodumps in Batavia; Nederlandse Rode Kruis hulp in Pangkalpinang; tinbewerking op Bangka,16864,37,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: het Margriet hospitaal in Batavia; kleding uitreiking aan de inlandse bevolking,16883,22,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: landing van Nederlandse troepen in Palembang,16906,28,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: vluchtelingen uit Madoera; conferentie van Denpasar,16942,31,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: Indonesiërs uit Nederland terug; bereiding van het volksvoedsel tahoe; invoer van Australisch fokvee,16962,22,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: Jeugdzorg,16979,37,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: herstel van Palembang,16999,20,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: badplaats Tjilintjing bij Batavia,17042,29,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: bedelaarszorg,17060,15,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: in een republikeinse huishoudschool,17079,15,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: herstel van de theeplantages,17101,21,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: gezinshereniging in Batavia; herstel spoorbrug bij Modjokerto,17142,28,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: politionele akties,17160,27,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: fabricatie van tapijten,17199,14,Indonesië;jaarthema 2010,
Nieuws uit Indonesië: de vliegende kinderwagen arriveert; ondertekening wapenstilstandsverdrag op de 'Renville',17240,25,Indonesië;jaarthema 2010,
Indische tentoonstelling voor de Nederlandse jeugd,17260,20,Indonesië;jaarthema 2010,
Dr. Van Royen over de Indonesische kwestie,17278,21,Indonesië;jaarthema 2010,
Rondom de Ronde Tafel conferentie,17296,16,Indonesië;jaarthema 2010,
Viering van de Indonesische onafhankelijkheidsdag,17316,17,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: medische zorg voor de inheemse bevolking,17336,17,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: de Marine Luchtvaart Dienst,17389,35,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: houtwinning op Batanta,17409,9,Indonesië;jaarthema 2010,
Indonesische vliegers boven de hoofdstad,17429,18,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: orchideeën,17447,16,Indonesië;jaarthema 2010,
Luchtlijn Amsterdam-Djakarta verbroken,17468,37,Indonesië;luchtvaart;jaarthema 2010,
Nieuws uit Nieuw-Guinea: oriëntatiebezoek van Nederlandse deskundigen,17485,16,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: oriëntatiereis van Nederlandse delegatie,17542,25,Indonesië;jaarthema 2010,
Nieuws uit Nieuw-Guinea: afscheid van gouverneur Plateel,17560,24,Indonesië;jaarthema 2010,
Garuda vliegtuig op Schiphol,17580,37,Indonesië;luchtvaart;jaarthema 2010;Schiphol,
Bezoek minister Luns,17634,15,Indonesië;jaarthema 2010,
Herdenking van de eerste Indiëvlucht van KLM in 1974,17655,34,Indonesië;luchtvaart;jaarthema 2010,
Nederlandse ontwikkelingshulp voor Indonesië; sanering waterhuishouding,17674,27,Indonesië;jaarthema 2010,
Nederlandse ontwikkelingshulp voor Indonesië; nieuw research instituut voor thee en kina op West Java,17690,21,Indonesië;jaarthema 2010,
Evacuatie van Oost-; West- en Midden-Java,24367,30,Indonesië;4 en 5 mei;jaarthema 2010,
Bij onze bevrijde landgenoten in Bangkok,26852,22,Indonesië;4 en 5 mei;jaarthema 2010,
Met de 'Jan Pieterz Coen' naar Indië (1921),32425,31,Indonesië;jaarthema 2010,
ED*IT Basis - Dossiers,15869,1,ED*IT,
ED*IT Extra - Werkplek,16287,2,ED*IT,
ED*IT Extra - Tijdlijn,16254,2,ED*IT,
ED*IT Extra - Zoeken onderwerp,16202,1,ED*IT,
ED*IT Extra - Zoeken,16188,0,ED*IT,
ED*IT Extra - Werkstuk,16171,2,ED*IT,
ED*IT Basis - Inloggen,16331,1,ED*IT,
ED*IT Extra - Videomontage,16142,4,ED*IT,
ED*IT Extra - Uitgebreid zoeken,16126,2,ED*IT,
ED*IT Basis - Presentatie,16111,3,ED*IT,
ED*IT Basis - Onderwerp,16094,2,ED*IT,
ED*IT Basis - Lessen,16077,0,ED*IT,
ED*IT Basis - Fragment snijden,16051,2,ED*IT,
ED*IT Extra - Presentatie,16029,0,ED*IT,
ED*IT Extra - Lessen,16013,2,ED*IT,
ED*IT Extra - Inloggen,15992,2,ED*IT,
ED*IT Extra - Fragmenten snijden,15975,4,ED*IT,
ED*IT Extra - Dossiers,15964,2,ED*IT,
ED*IT Basis - Zoeken,15945,0,ED*IT,
ED*IT Basis - Werkstuk,15929,1,ED*IT,
ED*IT Basis - Werkplek,15912,2,ED*IT,
ED*IT Basis - Uitgebreid zoeken,15895,2,ED*IT,
Glas tentoonstelling,17906,25,glas,
Jubileum glaskunstenaar Andries Copier,17885,28,glas,
Vervaardiging van het kristallen drinkservies voor Elisabeth en Philip,17862,15,glas,
Modern glaswerk in Stedelijk Museum,17815,18,glas,
De oude horn nieuw centrum voor glascultuur,17767,24,glas,
Staalconstructie van Jules Chapon,98116,19,glas;scheepvaart;NDSM,
BP187_Glasblazerij,105677,15,glas;Celluloid Remix;EYE;Found Footage;Remix contest;glasblazen,
Make Up Your Mind,19014,11,live;muziek;rock;guaranteedalifetime,
BP331_Man met accordeon zingt,105202,20,muziek;Celluloid Remix;EYE;Found Footage;Remix contest;Bits and Pieces collectie;Bit,
Abstracte werkers,19089,9,remix,
Hippies,19113,20,remix,
Open Beelden trailer,19137,16,remix;promo,
Smetteloos,19819,5,remix;strangerfestival,
Loving nature,19874,14,remix;strangerfestival,
Fishy business,19900,10,remix;strangerfestival,
3 amigos from Hungary,19929,13,remix;strangerfestival,
Running against time,19957,14,remix;strangerfestival,
!,19992,13,remix;strangerfestival,
Flying monsters from the sky,19848,21,remix;strangerfestival,
Video Vortex,70605,7,remix;Video Vortex,
Politietraining video remix,72306,14,remix;Video Vortex,
Back to Nature,72335,11,remix;Video Vortex,
Car Race Mashup,72371,21,remix;Video Vortex,
Fashionable Soccer Animals,72396,10,remix;Video Vortex,
Opvallen op de fiets,72423,10,remix;Video Vortex,
Tigerblood,72450,9,remix;Video Vortex,
Snow Works,84635,9,remix;Video Vortex,
Men vs women,84664,11,remix;Video Vortex,
Deer Hunter,84724,9,remix;Video Vortex,
Relief,84761,8,remix;Video Vortex,
A night out in Amsterdam,84790,13,remix;Video Vortex,
Animal farm,84824,18,remix;Video Vortex,
Words connect,84857,16,remix;Video Vortex,
The race,84942,13,remix;Video Vortex,
Beelden voor de Toekomst leader 2010,46464,18,promo;beelden voor de toekomst;images for the future;2010;leader,
Liefdesintriges (1920),19454,30,reclame,
Naar buiten! (1925),19507,23,reclame,
Nederland vooruit! (1921),19529,26,reclame;luchtvaart,
Reclame affiches,649617,1,reclame;tentoonstelling,
Met de Fokker VII en de eerste luchtmail naar Marseille (1926),19485,35,luchtvaart,
Schiphol belangrijk uitgebreid,43316,36,luchtvaart;Schiphol;Noord-Holland,
De beroemde filmkunstenaar Walt Disney in ons land,52446,21,luchtvaart;artist,
Reuzevliegtuig Tupolev,52883,33,luchtvaart;Schiphol,
Nederland - Amerika door de lucht: de eerste KLM-vlucht Amsterdam - New York,54918,33,luchtvaart;Schiphol;Verkeer en vervoer;new york,
Vliegen boven het besneeuwde landschap,51113,18,luchtvaart;winter,
BP159_ Brand blussen; man in bed zakt door vloer,105440,15,brand;Celluloid Remix;EYE;Found Footage;Remix contest,
Kamperen,652420,1,brand;vakantie;kamperen;camping,
Monument onthulling,20086,19,4 en 5 mei;Medemblik;oorlogsmonument,
Franse herdenking,20117,17,4 en 5 mei;Kapelle;oorlogsmonument;Zeeland,
Herdenking van de Slag om Arnhem,20145,35,4 en 5 mei;Arnhem;Oosterbeek;oorlogsmonument,
Nederland herdenkt zijn doden,20245,23,4 en 5 mei;Enschede;Rhenen;oorlogsmonument,
Beeldhouwer Jacob Maris legt de laatste hand aan het Airborne monument,20463,20,4 en 5 mei;Arnhem;Oosterbeek;oorlogsmonument,
De mensen dachten 'het zal hier wel niet gebeuren',21257,19,4 en 5 mei;oorlogsmonument;getuigenverhaal,
Ook in het heden kan nog van alles misgaan,21223,11,4 en 5 mei;oorlogsmonument;getuigenverhaal,
Eerbetoon aan hen die minder geluk hadden,21200,15,4 en 5 mei;oorlogsmonument;getuigenverhaal,
Uit mijn zolderraam zag ik hoe ze de mensen doodschoten,21176,22,4 en 5 mei;oorlogsmonument;getuigenverhaal,
Een jaar bevrijd,21484,29,4 en 5 mei;'s-Hertogenbosch,
5 mei 1945 - 5 mei 1950: een terugblik bij het eerste lustrum onzer bevrijding,21623,30,4 en 5 mei,
Herdenking Slag om Arnhem,21729,32,4 en 5 mei;Arnhem;oorlogsmonument,
Minister president Dr. Beel bezoekt Goeree en Overflakkee,24254,14,4 en 5 mei,
Het inundatiegebied in Nederland weer bewoonbaar,24301,19,4 en 5 mei,
Voorbereiding en training van soldaten voor hun taak in Libanon,24349,27,4 en 5 mei,
Inundatie van de Wieringermeer,24435,27,4 en 5 mei,
Plechtige herdenking van de Brabantse gesneuvelden,24484,10,4 en 5 mei;Waalre,
Walcheren,24586,27,4 en 5 mei;Westkapelle;Middelburg;Walcheren,
Scheveningen zoals de Duitsers het achterlieten,24609,36,4 en 5 mei;Scheveningen,
Illegale werkers herdacht,24634,30,4 en 5 mei;Rijswijk,
Hoe Den Helder er uit ziet,24683,27,4 en 5 mei;Den Helder,
London Calling medewerkers van de BBC voor onze microfoon,24735,28,4 en 5 mei;communicatie;Wassenaar,
Walcheren heroverd,24857,22,4 en 5 mei;Walcheren,
Het Nederlands oorlogsmuseum in Overloon geopend,24874,31,4 en 5 mei;Overloon,
Belgische- en Nederlandse ex-politieke gevangenen bijeen,24908,12,4 en 5 mei;Vught,
Jaarlijks congres van ex-politieke gevangenen; tentoonstelling 'Nederland in oorlogstijd',24977,10,4 en 5 mei,
Inwijding van 'Dodencel 601',24995,31,4 en 5 mei;Scheveningen,
Monument voor Coba Pulskens in Tilburg onthuld,25061,24,4 en 5 mei;oorlogsmonument;Tilburg,
Nieuws uit Oost en West: teraardebestelling van Boy Ecury,25105,24,4 en 5 mei;Oranjestad;Suriname en de Nederlandse Antillen,
Gelderlands verzet in beeld,25172,19,4 en 5 mei;Arnhem,
Het proces tegen de zeven beulen,25357,34,4 en 5 mei,
Heropening van de verkeersbrug,25472,25,4 en 5 mei;Arnhem,
Opening van het Belgisch erekerkhof in Willemstad aan het Hollands Diep,25523,19,4 en 5 mei;Willemstad,
HM's torpedobootjager 'Evertsen' terug,25615,33,4 en 5 mei;Noord-Holland,
Onthulling bevrijdingsmonument,25640,14,4 en 5 mei;oorlogsmonument;Almelo,
Soldaat Biever terug uit Koreaanse krijgsgevangenschap,25692,23,4 en 5 mei;Schiphol,
Onthulling van gedenkplaten op de erebegraafplaats,25719,35,4 en 5 mei;oorlogsmonument,
Het vertrek van de "Van Galen" naar Korea,26015,30,4 en 5 mei;Den Helder;Noord-Holland,
Doden uit de oorlog herdacht,26062,13,4 en 5 mei;oorlogsmonument;Groesbeek,
Ossip Zadkine in Arnhem,26088,27,4 en 5 mei;Arnhem,
Oorlogsmuseum,26113,28,4 en 5 mei;oorlogsmonument;Overloon,
Herdenking parachutistenlanding op Ginkelse Heide,26138,29,4 en 5 mei;Arnhem;Oosterbeek,
