VideoName,VideoNumber,Plays,Tags,
De hoofdstad herdenkt de Februaristaking van 1941,20175,28,Amsterdam;4 en 5 mei;oorlogsmonument,
Het Nationaal Monument in wording,20279,28,Amsterdam;4 en 5 mei;oorlogsmonument,
In memoriam John Raedecker,20333,34,Amsterdam;4 en 5 mei;Waalwijk;oorlogsmonument,
Beeldhouwer Mari Andriessen 70 jaar,20369,37,Amsterdam;4 en 5 mei;Enschede;Putten;oorlogsmonument,
Sfeerbeeld op dodenherdenkingsdag,20424,35,Amsterdam;4 en 5 mei;Waalwijk;oorlogsmonument,
Chinezen in Nederland vieren de overwinning,21432,21,Amsterdam;Den Haag;4 en 5 mei,
Nationaal monument nadert zijn voltooiing,21701,17,Amsterdam;4 en 5 mei;oorlogsmonument,
Herdenking Februaristaking,21756,16,Amsterdam;4 en 5 mei;oorlogsmonument,
Plechtige begrafenis van 17 illegale strijders,24507,31,Amsterdam;4 en 5 mei,
De verzetstentoonstelling 'Weerbare democratie',24651,27,Amsterdam;4 en 5 mei,
Dag van het oorlogsgraf: herdenking in Amsterdam en Mierlo,24960,21,Amsterdam;4 en 5 mei;Mierlo,
As van in Japan gestorven krijgsgevangenen met militaire eer bijgezet,25299,10,Amsterdam;4 en 5 mei,
Onthulling Joods Dankbaarheidsmonument,25446,31,Amsterdam;4 en 5 mei;oorlogsmonument,
Invasieherdenking in Amsterdam,25745,17,Amsterdam;4 en 5 mei,
President Ben Zwi van Israël in ons land,25770,15,Amsterdam;4 en 5 mei;oorlogsmonument,
Nederland eert de doden van de Tweede Wereldoorlog,26711,9,Amsterdam;4 en 5 mei;oorlogsmonument,
Dodenherdenkingsdag in Amsterdam,26917,30,Amsterdam;4 en 5 mei;oorlogsmonument;Noord-Holland,
Met vuurwerk over de drempel,27273,30,Amsterdam;Den Haag;Typisch Nederlands,
Oranje feestvreugde,27524,31,Amsterdam;Typisch Nederlands,
Bloemencorso georganiseerd door de Aalsmeerse kwekers,27661,14,Amsterdam;Typisch Nederlands,
Hij is er,28042,25,Amsterdam;Typisch Nederlands,
Rembrandt tentoonstelling verlengd,28162,22,Amsterdam;Typisch Nederlands;Noord-Holland;Rijksmuseum,
Irenebrigade op de Dam (1945),32822,32,Amsterdam;4 en 5 mei,
Dodenherdenking op de Dam (1958),32398,23,Amsterdam;4 en 5 mei,
Wijken van Neerlands hoofdstad in de stijl van de Amsterdamse School,32317,31,Amsterdam;Madurodam,
Schietpartij op de Dam (1945),39746,37,Amsterdam;4 en 5 mei,
Modieuze regenkleding voor het komend seizoen,493,36,Amsterdam;water;Mode en beauty,
Diamanttentoonstelling in Amsterdam,44046,16,Amsterdam;Noord-Holland,
"Amsterdam Diamanstad",44071,18,Amsterdam;Noord-Holland,
Amsterdam diamantstad,44130,25,Amsterdam;Noord-Holland,
