Tag,VideoName,VideoNumber,Plays,Total Videos,
vpro,Warm vakantieweer in de hoofdstad,1731,33,69,
vpro,Nieuwe vervoermiddelen in Amsterdam en Rotterdam,1647,33,69,
vpro,Wederopbouw het stadhuis en de St. Stevenskerk gerestaureerd,1591,25,69,
vpro,Enkhuizen 600 jaar stad,1451,37,69,
vpro,Hoorn 600 jaar stad,1349,30,69,
vpro,Haarlem 700 jaar stad,1321,32,69,
vpro,Eerste bewoners,1293,22,69,
vpro,Rokin,1265,31,69,
vpro,Stadsopname Dordrecht,1251,29,69,
vpro,Wederopbouw van Eindhovens winkelcentrum,1209,36,69,
vpro,Verkeerschaos in Rotterdam ten einde officiële heropening Coolsingel,1153,35,69,
vpro,Steegjes,1081,36,69,
vpro,25 jaar verkeer in Amsterdam; jubileum van commissaris C Bakker,1067,36,69,
vpro,Amsterdam houdt de stad schoon,1053,28,69,
vpro,Dordrecht; Holland's aelteste Stadt,3941,32,69,
vpro,Houen zo!,3842,35,69,
vpro,Houen zo!,3860,37,69,
vpro,Nederland vaart weer,3874,35,69,
vpro,Leeuwarden,3882,26,69,
vpro,Deventer,3895,30,69,
vpro,Schiedam,3828,37,69,
vpro,Dordrecht; Holland's aelteste Stadt,3901,37,69,
vpro,Dordrecht; Holland's aelteste Stadt,3928,31,69,
vpro,Zaandam onze stad,3998,37,69,
vpro,Gouda pijpenstad,3987,21,69,
vpro,Zaandam onze stad,3990,36,69,
vpro,Vlissingen,3969,31,69,
vpro,Nederlands-Indië voor 1942,3967,37,69,
vpro,Moderne architectuur in Nederland,3953,36,69,
vpro,Hora est,3948,27,69,
Maastricht,Maquette van Maastricht in de 18e eeuw,1549,29,6,
Maastricht,Onthulling van het Limburgse bevrijdingsmonument,20201,20,6,
Maastricht,Herdenking van de bevrijding van Maastricht,21461,22,6,
Maastricht,De terugkeer van de koningin - Maastricht (1945),32640,27,6,
Maastricht,St. Servaasprocessie in Maastricht,122875,14,6,
Maastricht,Schiphol herleeft; officiële opening luchtlijn Amsterdam-Eindhoven-Maastricht,24534,36,6,
Almere,Nieuwe stad Almere heeft zijn eerste bewoners,1195,35,3,
Almere,In polder komt nieuwe stad Almere,871,35,3,
Almere,Leven in de geest van de onverzettelijken,20540,11,3,
Amsterdam,Baldadige jeugd,1941,37,83,
Amsterdam,Vakantie 1947,549,34,83,
Amsterdam,Amsterdam,983,37,83,
Amsterdam,Viering van de 700e verjaardag Amsterdam met groot vuurwerk besloten,2207,31,83,
Amsterdam,Reportage over de metro,745,33,83,
Amsterdam,'Hier is het' droomeiland voor ondernemende jongens uit Amsterdam-Oost,633,34,83,
Amsterdam,Nog 2500 krotwoningen in de hoofdstad,2883,36,83,
Amsterdam,Sloppen,2764,37,83,
Amsterdam,Festival in de Jordaan,2333,35,83,
Amsterdam,Bouwen in de Bijlmermeer,2291,32,83,
Amsterdam,Moderne woningen in Plan West,2179,29,83,
Amsterdam,Wolkenkrabber,2151,36,83,
Amsterdam,Warm vakantieweer in de hoofdstad,1731,33,83,
Amsterdam,Nieuwe vervoermiddelen in Amsterdam en Rotterdam,1647,33,83,
Amsterdam,Eerste bewoners,1293,22,83,
Amsterdam,Rokin,1265,31,83,
Amsterdam,Steegjes,1081,36,83,
Amsterdam,25 jaar verkeer in Amsterdam; jubileum van commissaris C Bakker,1067,36,83,
Amsterdam,Amsterdam houdt de stad schoon,1053,28,83,
Amsterdam,Nederland vaart weer,3874,35,83,
Amsterdam,Leger en ME ingezet bij ontruiming kraakpand in Amsterdam,9194,33,83,
Amsterdam,Zelfkant (1930),19727,33,83,
Amsterdam,De hoofdstad herdenkt de Februaristaking van 1941,20175,28,83,
Amsterdam,Het Nationaal Monument in wording,20279,28,83,
Amsterdam,In memoriam John Raedecker,20333,34,83,
Amsterdam,Beeldhouwer Mari Andriessen 70 jaar,20369,37,83,
Amsterdam,Sfeerbeeld op dodenherdenkingsdag,20424,35,83,
Amsterdam,Chinezen in Nederland vieren de overwinning,21432,21,83,
