Video1, Video2, Simulated_Score
155988,624109,12.411264
155988,2718,12.066839
155988,640409,11.978215
155988,28984,10.8492985
155988,173432,9.820978
155988,624109,12.742186
155988,640409,11.974786
155988,71534,11.050629
155988,1251,10.473504
155988,173432,9.795709
